,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
94,Jodhpur to Ajmer,Jakhar Travels,A/C Seater / Sleeper (2+1),23:00,03:30,04h 30m,INR 410,38 Seats available,2.9
95,Jodhpur to Ajmer,CHANDRA RAJ TRAVELS,NON AC Seater / Sleeper 2+1,23:00,02:50,03h 50m,INR 400,50 Seats available,1.0
96,Jodhpur to Ajmer,Jakhar Travels,A/C Sleeper (2+1),23:59,04:50,04h 51m,INR 648,23 Seats available,2.9
97,Jodhpur to Ajmer,B S MAHARAJA TRAVELS,Bharat Benz A/C Seater /Sleeper (2+1),01:30,05:10,03h 40m,INR 1000,40 Seats available,3.0
98,Jodhpur to Ajmer,Mahadev Travels(pipar),AC Sleeper (2+1),13:05,17:46,04h 41m,INR 1714.29,36 Seats available,4.2
99,Jodhpur to Ajmer,Shri Charbhuja Travels (A Unit Of Bala Agri..),A/C Seater / Sleeper (2+1),13:31,17:46,04h 15m,INR 952.38,41 Seats available,3.6
100,Jodhpur to Ajmer,Shri Charbhuja Travels (A Unit Of Bala Agri..),A/C Seater / Sleeper (2+1),13:31,18:23,04h 52m,INR 1047.62,41 Seats available,3.6
101,Jodhpur to Ajmer,Chanakya Travels Agency,A/C Seater / Sleeper (2+1),14:00,19:15,05h 15m,INR 1100,40 Seats available,3.7
102,Jodhpur to Ajmer,SHRI GANESH TRAVELLS BARMER,A/C Seater / Sleeper (2+1),14:00,18:00,04h 00m,INR 1200,40 Seats available,4.0
103,Jodhpur to Ajmer,Shri Charbhuja Travels (A Unit Of Bala Agri..),A/C Seater / Sleeper (2+1),14:09,19:05,04h 56m,INR 1160,39 Seats available,3.6
104,Jodhpur to Ajmer,Shri Charbhuja Travels (A Unit Of Bala Agri..),A/C Seater / Sleeper (2+1),14:13,18:19,04h 06m,INR 1047.62,42 Seats available,3.6
105,Jodhpur to Ajmer,Shre Ganesh Travels,A/C Seater / Sleeper (2+1),14:30,18:30,04h 00m,INR 800,40 Seats available,3.3
106,Jodhpur to Ajmer,Mahadev Bus Service,Non A/C Seater / Sleeper (2+1),15:30,17:30,02h 00m,INR 1500,41 Seats available,No rating
107,Jodhpur to Ajmer,bhaiya travels,NON A/C Sleeper (2+1),17:00,22:12,05h 12m,INR 800,34 Seats available,3.2
108,Jodhpur to Ajmer,B.R. Travels,AC Sleeper (2+1),17:30,23:05,05h 35m,INR 1999,36 Seats available,No rating
109,Jodhpur to Ajmer,B R Travels,AC Sleeper (2+1),17:35,23:10,05h 35m,INR 2999,36 Seats available,3.9
110,Jodhpur to Ajmer,V k jain travels,A/C Seater / Sleeper (2+1),18:15,23:20,05h 05m,INR 850,34 Seats available,3.0
111,Jodhpur to Ajmer,Bluecity Bus,Bharat Benz A/C Sleeper (2+1),19:00,23:55,04h 55m,INR 1199,40 Seats available,4.3
112,Jodhpur to Ajmer,B.R. Travels,AC Sleeper (2+1),19:01,23:31,04h 30m,INR 999,36 Seats available,No rating
113,Jodhpur to Ajmer,Chanakya Travels Agency,AC Sleeper (2+1),21:30,01:30,04h 00m,INR 950,35 Seats available,3.7
114,Jodhpur to Ajmer,Tiger Travels,A/C Seater / Sleeper (2+1),23:15,03:45,04h 30m,INR 1000,40 Seats available,4.1
115,Jodhpur to Ajmer,Mahadev Travels,A/C Seater / Sleeper (2+1),09:10,14:00,04h 50m,INR 3000,12 Seats available,2.2
116,Jodhpur to Ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,14:30,18:45,04h 15m,INR 1000,42 Seats available,2.5
117,Jodhpur to Ajmer,Jain travels regd,AC Sleeper (2+1),15:00,19:10,04h 10m,INR 1600,34 Seats available,2.5
118,Jodhpur to Ajmer,Western Bus,A/C Sleeper (2+1),15:30,20:00,04h 30m,INR 800,30 Seats available,2.9
119,Jodhpur to Ajmer,Deepak Travels,NON A/C Sleeper (2+1),15:30,20:15,04h 45m,INR 1199,30 Seats available,1.9
120,Jodhpur to Ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,15:30,20:30,05h 00m,INR 1000,42 Seats available,2.5
121,Jodhpur to Ajmer,Western Bus,A/C Sleeper (2+1),15:30,19:31,04h 01m,INR 800,30 Seats available,2.9
122,Jodhpur to Ajmer,Salasar vaishnav travels,Non A/C Seater / Sleeper (2+1),15:35,20:35,05h 00m,INR 750,38 Seats available,No rating
123,Jodhpur to Ajmer,Jain travels regd,NON AC Seater/ Sleeper (2+1),19:00,23:36,04h 36m,INR 750,36 Seats available,2.5
124,Jodhpur to Ajmer,M R Travels,A/C Volvo B11R Multi-Axle Sleeper (2+1),19:30,23:50,04h 20m,INR 1060,41 Seats available,1.2
